,Unnamed: 0,equipment,model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,destroyed,sunk,lost_by
300,300,Aircraft,MiG-31BM fighter aircraft,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
301,301,Aircraft,Su-30SM multirole aircraft,Russia,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,russia
302,302,Aircraft,Su-35S multirole aircraft,Russia,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,russia
303,303,Aircraft,Su-25 close air support aircraft,the Soviet Union,30,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,24.0,0.0,russia
304,304,Aircraft,Su-24M strike aircraft,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
305,305,Aircraft,Su-24MR tactical reconnaissance aircraft,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
306,306,Aircraft,Su-24M/MR strike/tactical reconnaissance aircraft,the Soviet Union,10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,russia
307,307,Aircraft,Su-34 strike aircraft,Russia,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,russia
308,308,Aircraft,Su-34M strike aircraft,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
309,309,Aircraft,Tu-22M3 strategic bomber,the Soviet Union,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,russia
310,310,Aircraft,Tu-95MS strategic bomber,the Soviet Union,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
311,311,Aircraft,Il-22 airborne command post,the Soviet Union,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,russia
312,312,Aircraft,An-26 transport aircraft,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
313,313,Aircraft,Il-76 transport aircraft,the Soviet Union,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,russia
314,314,Helicopters,Mi-8 transport helicopter,Russia,21,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,russia
315,315,Helicopters,Mi-8MTPR-1 electronic warfare helicopter,Russia,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,russia
316,316,Helicopters,Mi-24P attack helicopter,the Soviet Union,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
317,317,Helicopters,Mi-24V/P/35M attack helicopter,Russia,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,russia
318,318,Helicopters,Mi-35M attack helicopter,Russia,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,russia
319,319,Helicopters,Mi-28 attack helicopter,Russia,12,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,russia
320,320,Helicopters,Ka-52 Alligator attack helicopter,Russia,44,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,36.0,0.0,russia
321,321,Helicopters,Unknown helicopter,Russia,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,russia
322,322,Unmanned Combat Aerial Vehicles,Orion,Russia,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,russia
323,323,Unmanned Combat Aerial Vehicles,Korsar,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
324,324,Unmanned Combat Aerial Vehicles,Forpost-RU,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
325,325,Unmanned Combat Aerial Vehicles,Mohajer-6,Iran,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
326,326,Unmanned Combat Aerial Vehicles,Orlan-10 UCAV,Russia,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
327,327,Unmanned Combat Aerial Vehicles,Eleron T-16,Russia,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
328,328,Reconnaissance Unmanned Aerial Vehicles,Forpost,Israel,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
329,329,Reconnaissance Unmanned Aerial Vehicles,Orlan-10,Russia,155,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,russia
330,330,Reconnaissance Unmanned Aerial Vehicles,Orlan-10 jamming UAV,Russia,5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
331,331,Reconnaissance Unmanned Aerial Vehicles,'Orlan-20' ''Kartograf'',Russia,16,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,russia
332,332,Reconnaissance Unmanned Aerial Vehicles,Orlan-30,Russia,7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
333,333,Reconnaissance Unmanned Aerial Vehicles,Granat-3,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
334,334,Reconnaissance Unmanned Aerial Vehicles,Granat-4,Russia,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
335,335,Reconnaissance Unmanned Aerial Vehicles,Eleron-3,Russia,32,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,russia
336,336,Reconnaissance Unmanned Aerial Vehicles,Eleron-10,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
337,337,Reconnaissance Unmanned Aerial Vehicles,Eleron T28ME,Russia,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
338,338,Reconnaissance Unmanned Aerial Vehicles,Takhion,Russia,4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
339,339,Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16Е,Russia,40,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,russia
340,340,Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16ЕM,Russia,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
341,341,Reconnaissance Unmanned Aerial Vehicles,Merlin-VR,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
342,342,Reconnaissance Unmanned Aerial Vehicles,Lastochka-M,Russia,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
343,343,Reconnaissance Unmanned Aerial Vehicles,Supercam S150,Russia,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
344,344,Reconnaissance Unmanned Aerial Vehicles,Supercam S350,Russia,11,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,russia
345,345,Reconnaissance Unmanned Aerial Vehicles,Grifon-12,Russia,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
346,346,Naval Ships and Submarines,Project 1164 Slava-class guided missile cruiser,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,russia
347,347,Naval Ships and Submarines,Project 636.3 Improved Kilo-class submarine,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,russia
348,348,Naval Ships and Submarines,Project 03160 Raptor-class patrol boat,Russia,5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,russia
349,349,Naval Ships and Submarines,Project 02510 BK-16E high-speed assault boat,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
350,350,Naval Ships and Submarines,Project 640 small patrol boat,Russia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
351,351,Naval Ships and Submarines,Project 1171 Tapir-class landing ship,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
352,352,Naval Ships and Submarines,Project 775 Ropucha-class landing ship,Poland,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
353,353,Naval Ships and Submarines,Project 775 Ropucha-class landing ship,Poland,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,russia
354,354,Naval Ships and Submarines,Project 775 Ropucha-class landing ship,Poland,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
355,355,Naval Ships and Submarines,Project 11770 Serna-class landing craft,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
356,356,Naval Ships and Submarines,Project 22870 rescue tug,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
357,357,Naval Ships and Submarines,Project 266M Natya-class minesweeper,the Soviet Union,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,russia
358,358,"Trucks, Vehicles, and Jeeps",GAZ-51,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
359,359,"Trucks, Vehicles, and Jeeps",GAZ-66,the Soviet Union,37,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,russia
360,360,"Trucks, Vehicles, and Jeeps",KrAZ-255B,the Soviet Union,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
361,361,"Trucks, Vehicles, and Jeeps",KrAZ-255B tanker,the Soviet Union,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,russia
362,362,"Trucks, Vehicles, and Jeeps",KrAZ-260 tanker,the Soviet Union,9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,russia
363,363,"Trucks, Vehicles, and Jeeps",ZiL-131,the Soviet Union,28,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,russia
364,364,"Trucks, Vehicles, and Jeeps",ZiL-131 tanker,the Soviet Union,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
365,365,"Trucks, Vehicles, and Jeeps",2F77M transloading vehicle for 2K22M Tunguska-M,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,russia
366,366,"Trucks, Vehicles, and Jeeps",9T217 transloader (for 9K33 Osa),the Soviet Union,4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,russia
367,367,"Trucks, Vehicles, and Jeeps",9T244 transloader (for 9A330/1 Tor),Russia,7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,russia
368,368,"Trucks, Vehicles, and Jeeps",Truck-based support equipment (for S-400),Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
369,369,"Trucks, Vehicles, and Jeeps",GAZ-3308,Russia,7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
370,370,"Trucks, Vehicles, and Jeeps",GAZ Sobol,Russia,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
371,371,"Trucks, Vehicles, and Jeeps",Ural-375D,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
372,372,"Trucks, Vehicles, and Jeeps",Ural-375D tanker,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
373,373,"Trucks, Vehicles, and Jeeps",Ural-4320,Russia,787,13.0,0.0,134.0,0.0,17.0,2.0,13.0,0.0,608.0,0.0,russia
374,374,"Trucks, Vehicles, and Jeeps",Ural-4320,Russia,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
375,375,"Trucks, Vehicles, and Jeeps",Ural-4320,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
376,376,"Trucks, Vehicles, and Jeeps",Ural-4320,Russia,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,russia
377,377,"Trucks, Vehicles, and Jeeps",Ural-4320,Russia,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
378,378,"Trucks, Vehicles, and Jeeps",Ural-4320 tanker,Russia,164,1.0,0.0,59.0,0.0,1.0,0.0,2.0,0.0,101.0,0.0,russia
379,379,"Trucks, Vehicles, and Jeeps",Ural Avtozaks,Russia,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,russia
380,380,"Trucks, Vehicles, and Jeeps",Ural-43206,Russia,145,1.0,0.0,36.0,0.0,1.0,3.0,3.0,0.0,101.0,0.0,russia
381,381,"Trucks, Vehicles, and Jeeps",Ural-43206,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
382,382,"Trucks, Vehicles, and Jeeps",Ural Federal,Russia,30,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,russia
383,383,"Trucks, Vehicles, and Jeeps",Ural-5323,Russia,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
384,384,"Trucks, Vehicles, and Jeeps",Ural-63704-0010 Tornado-U,Russia,14,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,russia
385,385,"Trucks, Vehicles, and Jeeps",Ural-542301 tank transporter,Russia,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
386,386,"Trucks, Vehicles, and Jeeps",Ural-63501-AT,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
387,387,"Trucks, Vehicles, and Jeeps",MAZ TZ-500 tanker,the Soviet Union,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,russia
388,388,"Trucks, Vehicles, and Jeeps",MAZ 531605 tanker,Belarus,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
389,389,"Trucks, Vehicles, and Jeeps",KamAZ 4x4,Russia,27,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,russia
390,390,"Trucks, Vehicles, and Jeeps",KamAZ 6x4,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
391,391,"Trucks, Vehicles, and Jeeps",KamAZ 6x6,Russia,862,12.0,0.0,135.0,0.0,12.0,2.0,20.0,0.0,681.0,0.0,russia
392,392,"Trucks, Vehicles, and Jeeps",KamAZ 6x6,Russia,7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,russia
393,393,"Trucks, Vehicles, and Jeeps",KamAZ 6x6 tanker,Russia,128,1.0,0.0,27.0,0.0,4.0,0.0,3.0,0.0,93.0,0.0,russia
394,394,"Trucks, Vehicles, and Jeeps",KamAZ 8x8,Russia,17,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,russia
395,395,"Trucks, Vehicles, and Jeeps",KamAZ Avtozaks,Russia,23,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,russia
396,396,"Trucks, Vehicles, and Jeeps",KamAZ-5350 with armoured cabin,Russia,14,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,russia
397,397,"Trucks, Vehicles, and Jeeps",KamAZ with MM-501 armoured cabin,Russia,30,2.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,russia
398,398,"Trucks, Vehicles, and Jeeps",KamAZ-6350 8x8 artillery tractor,Russia,16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,russia
399,399,"Trucks, Vehicles, and Jeeps",KamAZ tank low-loader,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
400,400,"Trucks, Vehicles, and Jeeps",KamAZ 'Gorets' 3958,Russia,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,russia
401,401,"Trucks, Vehicles, and Jeeps",Civilian KamAZ 6x6 converted for military use,Russia,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
402,402,"Trucks, Vehicles, and Jeeps",UAZ-469 jeep,the Soviet Union,33,1.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,russia
403,403,"Trucks, Vehicles, and Jeeps",UAZ-452 van,the Soviet Union,63,1.0,0.0,10.0,0.0,2.0,1.0,4.0,0.0,45.0,0.0,russia
404,404,"Trucks, Vehicles, and Jeeps",UAZ-3303,the Soviet Union,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,russia
405,405,"Trucks, Vehicles, and Jeeps",LuAZ-969,the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,russia
406,406,"Trucks, Vehicles, and Jeeps",UAZ Patriot jeep,Russia,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,russia
407,407,"Trucks, Vehicles, and Jeeps",UAZ-3151,Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
408,408,"Trucks, Vehicles, and Jeeps",UAZ-31514,Russia,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,russia
409,409,"Trucks, Vehicles, and Jeeps",UAZ-23632 pickup truck,Russia,8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,russia
410,410,"Trucks, Vehicles, and Jeeps",UAZ-23632-148-64 armed pickup truck,Russia,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,russia
411,411,"Trucks, Vehicles, and Jeeps",UAZ-394511 ‘Esaul’,Russia,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,russia
412,412,"Trucks, Vehicles, and Jeeps",UAZ-515195 'Esaul',Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,russia
413,413,"Trucks, Vehicles, and Jeeps",UAZ-39094,Russia,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,russia
414,414,"Trucks, Vehicles, and Jeeps",Unknown fuel tanker,Russia,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,russia
415,415,"Trucks, Vehicles, and Jeeps",(Unknown) truck,Russia,256,1.0,0.0,10.0,1.0,7.0,2.0,0.0,0.0,235.0,0.0,russia
416,416,"Trucks, Vehicles, and Jeeps",(Unknown) vehicle,Russia,46,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,40.0,0.0,russia
0,0,Tanks,M-55S,Slovenia,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,ukraine
1,1,Tanks,T-64A,the Soviet Union,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
2,2,Tanks,T-64B,the Soviet Union,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,ukraine
3,3,Tanks,T-64BV,the Soviet Union,244,3.0,0.0,49.0,8.0,23.0,6.0,4.0,0.0,151.0,0.0,ukraine
4,4,Tanks,T-64BV Zr. 2017,Ukraine,82,3.0,0.0,28.0,0.0,5.0,1.0,0.0,0.0,45.0,0.0,ukraine
5,5,Tanks,T-64B1M,Ukraine,9,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
6,6,Tanks,T-64BM 'Bulat',Ukraine,14,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,ukraine
7,7,Tanks,T-64BM2 'Bulat',Ukraine,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,ukraine
8,8,Tanks,Unknown T-64,Ukraine,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
9,9,Tanks,T-72 'Ural',the Soviet Union,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,ukraine
10,10,Tanks,T-72M/M1(R),Poland,61,1.0,0.0,8.0,0.0,1.0,6.0,1.0,0.0,44.0,0.0,ukraine
11,11,Tanks,T-72EA,the Czech Republic,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,ukraine
12,12,Tanks,T-72AV,the Soviet Union,32,2.0,0.0,6.0,0.0,2.0,1.0,2.0,0.0,19.0,0.0,ukraine
13,13,Tanks,T-72B,the Soviet Union,41,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,32.0,0.0,ukraine
14,14,Tanks,T-72AMT,Ukraine,18,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,9.0,0.0,ukraine
15,15,Tanks,T-72AMT Zr.2022,Ukraine,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,ukraine
16,16,Tanks,PT-91 Twardy,Poland,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
17,17,Tanks,Unknown T-72,Ukraine,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,ukraine
18,18,Tanks,T-80BV,the Soviet Union,54,1.0,0.0,9.0,0.0,3.0,1.0,6.0,0.0,34.0,0.0,ukraine
19,19,Tanks,Leopard 2A4,Germany,7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,ukraine
20,20,Tanks,Leopard 2A6,Germany,9,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,ukraine
21,21,Tanks,Stridsvagn 122,Sweden,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,ukraine
22,22,Tanks,Challenger 2,the United Kingdom,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
23,23,Tanks,Unknown tank,Ukraine,37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,ukraine
24,24,Armoured Fighting Vehicles,AMX-10 RC(R),France,4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
25,25,Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,the Soviet Union,44,3.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,27.0,0.0,ukraine
26,26,Armoured Fighting Vehicles,BRDM-2,the Soviet Union,64,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,ukraine
27,27,Armoured Fighting Vehicles,BRDM-2L1,Ukraine,47,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,ukraine
28,28,Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,the Soviet Union,11,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,ukraine
29,29,Armoured Fighting Vehicles,Vepr,Ukraine,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
30,30,Armoured Fighting Vehicles,MT-LB,the Soviet Union,54,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,ukraine
31,31,Armoured Fighting Vehicles,MT-LB,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
32,32,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,the Soviet Union,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,ukraine
33,33,Armoured Fighting Vehicles,MT-LB with BPU-1 turret,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
34,34,Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,the Soviet Union,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ukraine
35,35,Armoured Fighting Vehicles,MT-LBu,the Soviet Union,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,ukraine
36,36,Armoured Fighting Vehicles,MT-LB-S Ambulance,Ukraine,20,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,ukraine
37,37,Armoured Fighting Vehicles,BMM-70 Ambulance,Ukraine,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
38,38,Armoured Fighting Vehicles,BMM-4C Ambulance,Ukraine,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
39,39,Armoured Fighting Vehicles,Unknown AFV,Ukraine,58,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,51.0,0.0,ukraine
40,40,Infantry Fighting Vehicles,BMP-1(P),the Soviet Union,343,16.0,1.0,46.0,0.0,9.0,6.0,3.0,0.0,262.0,0.0,ukraine
41,41,Infantry Fighting Vehicles,BMP-1TS,Ukraine,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
42,42,Infantry Fighting Vehicles,BMP-1U Shkval,Ukraine,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ukraine
43,43,Infantry Fighting Vehicles,BWP-1,Poland,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
44,44,Infantry Fighting Vehicles,Pbv 501A,Sweden,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,ukraine
45,45,Infantry Fighting Vehicles,BVP M-80A,Yugoslavia %281946-1992%29,7,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,ukraine
46,46,Infantry Fighting Vehicles,BMP-2(K),the Soviet Union,173,9.0,0.0,24.0,0.0,5.0,5.0,0.0,0.0,130.0,0.0,ukraine
47,47,Infantry Fighting Vehicles,Unknown BMP-1/2,the Soviet Union,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,ukraine
48,48,Infantry Fighting Vehicles,PRP-3 with a BMD-2 turret,the Soviet Union,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,ukraine
49,49,Infantry Fighting Vehicles,PRP-3 with a BMP-1 turret,the Soviet Union,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
50,50,Infantry Fighting Vehicles,BMD-2,the Soviet Union,5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ukraine
51,51,Infantry Fighting Vehicles,M2A2 Bradley ODS-SA,the United States,55,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,28.0,0.0,ukraine
52,52,Infantry Fighting Vehicles,CV9040C,Sweden,4,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,ukraine
53,53,Infantry Fighting Vehicles,Marder 1A3,Germany,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,ukraine
54,54,Infantry Fighting Vehicles,BTR-3,Ukraine,41,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,ukraine
